URL, First Contentful Paint, First Interactive
https://bloggingcage.webinarninja.com/webinars/55201/register,5.8 s,17.0 s
http://www.shop-on-shop.org/Social-Marketing/180/give-you-10000-USA-Permanent-Social-Signals-For-Affiliate-Marketing-,3.8 s,6.1 s
https://www.clickbooth.com/blog/2018/09/26/sharpen-your-affiliate-marketing-with-thrivetracker/,6.3 s,9.1 s
https://www.clickbooth.com/blog/2018/09/26/sharpen-your-affiliate-marketing-with-thrivetracker/,6.3 s,9.1 s
https://www.martechadvisor.com/amp/articles/social-media-marketing-2/digital-armor-to-tap-into-affiliate-marketing/,2.0 s,6.3 s
https://blogsandaffiliateswise.com/blogging-tips/h%D0%BEw-t%D0%BE-build-a-c%D0%BEm%D1%80l%D0%B5t%D0%B5-cash-funn%D0%B5l-u%D1%95ing-plr/,3.2 s,26.6 s
http://worldprofittube.com/video.cfm,2.1 s,11.2 s
http://worldprofittube.com/video.cfm,1.9 s,11.2 s
https://wptag.theviralcash.org/2018/08/15/%F0%9F%94%B4-how-to-make-100-a-day-on-youtube-with-affiliate-marketing/,4.2 s,12.5 s
https://wptag.theviralcash.org/2018/08/15/%F0%9F%94%B4-how-to-make-100-a-day-on-youtube-with-affiliate-marketing/,4.2 s,12.5 s
https://www.webmastersun.com/threads/threads/threads/threads/threads/threads/7161-factors-to-succeed-with-affiliate-marketing,3.4 s,10.2 s
https://member.affiliateacademics.com/,3.4 s,3.7 s
https://www.webmastersun.com/threads/threads/threads/threads/threads/threads/7161-factors-to-succeed-with-affiliate-marketing,3.5 s,10.0 s
https://england.jobvacancyalert.com/client-account-manager-affiliate-marketing-leader-london/,3.9 s,4.3 s
https://www.plurk.com/m/p/mxe77d,2.3 s,12.1 s
http://worldprofittube.com/videoplayer.cfm,1.9 s,6.6 s
http://mobile.dudasite.com/site/butterflynetworking,4.1 s,9.8 s
http://mobile.dudasite.com/site/butterflynetworking,4.1 s,9.8 s
https://portals.aliexpress.com/,1.7 s,3.6 s
http://10lance.com/story.php,3.0 s,3.6 s
http://www.affiliatemarketingdomination.com/,0.8 s,5.5 s
http://www.affiliatemarketingdomination.com/,0.8 s,5.5 s
https://m.mouthshut.com/review/Clickbank-com-review-rlmmutloprn,4.9 s,14.5 s
http://hacktheentrepreneur.libsyn.com/hte-442-affiliate-marketing-the-best-business-model-in-the-world,2.0 s,11.0 s
